╧;мЮХЛЕМНБЮМХЕ;цНД;бНГПЮЯР ЙНЛОЮМХХ, КЕР;яРЮРСЯ;нПЦЮМХГЮЖХНММН-ОПЮБНБЮЪ ТНПЛЮ;тНПЛЮ ЯНАЯРБЕММНЯРХ;нАНПНРМШЕ ЮЙРХБШ, RUB;юЙРХБШ  БЯЕЦН, RUB;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ), RUB;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;яНБНЙСОМШИ ДНКЦ, RUB;бШПСВЙЮ, RUB;йНЩТТХЖХЕМР НАНПЮВХБЮЕЛНЯРХ ЯНБНЙСОМШУ ЮЙРХБНБ, %;нАНПНРМШЕ ЮЙРХБШ МЮ ЕДХМХЖС ЮЙРХБНБ;юЙРХБШ  БЯЕЦН МЮ ЕДХМХЖС ЮЙРХБНБ;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ) МЮ ЕДХМХЖС ЮЙРХБНБ;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;яНБНЙСОМШИ ДНКЦ МЮ ЕДХМХЖС ЮЙРХБНБ;бШПСВЙЮ МЮ ЕДХМХЖС ЮЙРХБНБ;цНЯ ЯНАЯРБЕММНЯРЭ;вЮЯРХВМЮЪ;вЮЯРМЮЪ;юн;цНЯ ЯНАЯРБЕММНЯРЭ;яЕКЭЯЙНЕ УНГБН;мЕЙНЛ;йННОЕПЮРХБШ;ннн
1;юлспрнпц28, ннн;20,00;3,50;1,00;5,00;0,00;130578000,00;152615000,00;-30953000,00;17612000,00;164956000,00;182568000,00;334000,00;0,00;0,86;1,00;-0,20;0,12;1,08;1,20;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2;дфюкшйнбн, юн;20,00;21,50;1,00;0,00;0,00;16382000,00;40817000,00;2790000,00;13920000,00;5173000,00;19093000,00;8053000,00;0,20;0,40;1,00;0,07;0,34;0,13;0,47;0,20;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
3;дчпрчкхмяйхи йнлахмюр лнкнвмшу опндсйрнб, юн;20,00;24,50;1,00;0,00;0,00;634318000,00;994151000,00;-104884000,00;164467000,00;708470000,00;872937000,00;240000,00;0,00;0,64;1,00;-0,11;0,17;0,71;0,88;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
4;ксфяйхи ййг, юн;20,00;27,00;1,00;0,00;0,00;464638000,00;1779447000,00;-849560000,00;16021000,00;1540324000,00;1556345000,00;888234000,00;0,46;0,26;1,00;-0,48;0,01;0,87;0,87;0,50;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
5;люъй, ннн;20,00;17,00;1,00;5,00;0,00;1243000,00;163988000,00;-85584000,00;137409000,00;105591000,00;243000000,00;23137000,00;0,11;0,01;1,00;-0,52;0,84;0,64;1,48;0,14;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
6;оюьйнбяйне, ннн;20,00;28,00;1,00;5,00;0,00;73732000,00;88926000,00;31663000,00;5155000,00;16767000,00;21922000,00;8959000,00;0,10;0,83;1,00;0,36;0,06;0,19;0,25;0,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
7;пюгднкэе, ннн;20,00;28,50;1,00;5,00;0,00;9607000,00;17760000,00;-6600000,00;4913000,00;16784000,00;21697000,00;4622000,00;0,27;0,54;1,00;-0,37;0,28;0,95;1,22;0,26;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
8;пюяябер, ннн;20,00;9,00;1,00;5,00;0,00;3360000,00;3360000,00;-33430000,00;24907000,00;11743000,00;36650000,00;218000,00;0,02;1,00;1,00;-9,95;7,41;3,49;10,91;0,06;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
9;пняюцпн, ннн;20,00;6,50;1,00;5,00;0,00;99959000,00;136411000,00;21400000,00;14686000,00;98173000,00;112859000,00;132728000,00;0,92;0,73;1,00;0,16;0,11;0,72;0,83;0,97;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
10;ябхмнйнлокейя бнкфяйхи, ннн;20,00;14,50;1,00;5,00;0,00;44632000,00;156980000,00;-462088000,00;561431000,00;41750000,00;603181000,00;3914000,00;0,01;0,28;1,00;-2,94;3,58;0,27;3,84;0,02;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
11;ярюпши охбнбюп, гюн йнлоюмхъ;20,00;24,00;1,00;0,00;0,00;33712000,00;34701000,00;-63444000,00;22485000,00;74660000,00;97145000,00;470000,00;0,02;0,97;1,00;-1,83;0,65;2,15;2,80;0,01;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
12;спсуяйхи йнмяепбмши гюбнд, юн;20,00;18,50;1,00;0,00;0,00;20737000,00;27473000,00;-342290000,00;19570000,00;257333000,00;276903000,00;671000,00;0,03;0,75;1,00;-12,46;0,71;9,37;10,08;0,02;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
13;гюпевмюъ, ннн юцпнтхплю;19,00;14,00;1,00;5,00;0,00;13258000,00;63648000,00;1793000,00;24995000,00;23497000,00;48492000,00;152000,00;0,00;0,21;1,00;0,03;0,39;0,37;0,76;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
14;гюбнд лхмепюкэмшу бнд делхднбяйхи, ннн;19,00;16,50;1,00;5,00;0,00;382002000,00;382002000,00;3139000,00;90000000,00;288853000,00;378853000,00;125000,00;0,00;1,00;1,00;0,01;0,24;0,76;0,99;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
15;йлг, ннн;19,00;8,00;1,00;5,00;0,00;88887000,00;90684000,00;69000,00;16215000,00;74389000,00;90604000,00;13650000,00;0,15;0,98;1,00;0,00;0,18;0,82;1,00;0,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
16;яхмепдфх пхреик, ннн;19,00;6,50;1,00;5,00;0,00;335955000,00;337817000,00;193000,00;4000,00;334621000,00;334625000,00;32360000,00;0,08;0,99;1,00;0,00;0,00;0,99;0,99;0,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
17;ярпнидбнп, юн;19,00;22,50;1,00;0,00;0,00;168367000,00;168367000,00;34719000,00;97587000,00;35982000,00;133569000,00;2035000,00;0,01;1,00;1,00;0,21;0,58;0,21;0,79;0,01;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
18;оеярнбяйне пюион;17,00;28,00;1,00;0,00;0,00;398839000,00;404825000,00;4569000,00;21000,00;313012000,00;313033000,00;8219000,00;0,02;0,99;1,00;0,01;0,00;0,77;0,77;0,02;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
19;стхлйю, он;17,00;14,00;1,00;0,00;0,00;64000,00;1355000,00;749000,00;942000,00;2866000,00;3808000,00;144000,00;0,11;0,05;1,00;0,55;0,70;2,12;2,81;0,11;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
20;унпньее декн якнандю, ннн;17,00;4,50;1,00;5,00;0,00;60922000,00;96244000,00;17867000,00;16787000,00;61580000,00;78367000,00;209038000,00;2,23;0,63;1,00;0,19;0,17;0,64;0,81;2,17;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
21;ьог, ннн;17,00;8,00;1,00;5,00;0,00;18323000,00;18925000,00;6571000,00;172000,00;11720000,00;11892000,00;9433000,00;0,47;0,97;1,00;0,35;0,01;0,62;0,63;0,50;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
22;дсапнбяйхи, нюн ойг;15,00;27,50;1,00;0,00;0,00;124178000,00;222281000,00;22118000,00;32644000,00;85519000,00;118163000,00;79856000,00;0,33;0,56;1,00;0,10;0,15;0,38;0,53;0,36;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
23;гюхмяйюцпнухл, ннн;15,00;14,00;1,00;5,00;0,00;44593000,00;47160000,00;434000,00;1560000,00;41834000,00;43394000,00;803000,00;0,03;0,95;1,00;0,01;0,03;0,89;0,92;0,02;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
24;мюдефдю, ннн;15,00;11,50;1,00;5,00;0,00;20047000,00;24444000,00;10566000,00;8348000,00;720000,00;9068000,00;9512000,00;0,41;0,82;1,00;0,43;0,34;0,03;0,37;0,39;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
25;юцпнрпюмя, ннн;14,00;9,00;1,00;5,00;0,00;10172000,00;16860000,00;6756000,00;4752000,00;5342000,00;10094000,00;634000,00;0,04;0,60;1,00;0,40;0,28;0,32;0,60;0,04;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
26;йнлюцпнопнл, ннн;14,00;15,00;1,00;5,00;0,00;43080000,00;44625000,00;2200000,00;5893000,00;36432000,00;42325000,00;363046000,00;4,91;0,97;1,00;0,05;0,13;0,82;0,95;8,14;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
27;йнлюпэебяйне, гюн;14,00;14,50;1,00;0,00;0,00;54240000,00;62518000,00;1128000,00;54539000,00;6841000,00;61380000,00;23093000,00;0,31;0,87;1,00;0,02;0,87;0,11;0,98;0,37;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
28;мнбнйнп окчя, ннн;14,00;8,50;1,00;5,00;0,00;717109000,00;718235000,00;4050000,00;8000,00;714167000,00;714175000,00;1249493000,00;2,01;1,00;1,00;0,01;0,00;0,99;0,99;1,74;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
29;яспцсряйюъ, ннн юцпнтхплю;14,00;26,50;1,00;5,00;0,00;282000,00;415662000,00;84142000,00;111481000,00;29121000,00;140602000,00;15849000,00;0,03;0,00;1,00;0,20;0,27;0,07;0,34;0,04;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
30;смхбеплюц лняйбю, нюн;14,00;28,50;1,00;0,00;0,00;444145000,00;784320000,00;168800000,00;92375000,00;518335000,00;610710000,00;9095000,00;0,01;0,57;1,00;0,22;0,12;0,66;0,78;0,01;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
31;йспяйхи йбюя, ннн;13,00;17,50;1,00;5,00;0,00;40529000,00;118003000,00;19893000,00;1003000,00;86846000,00;87849000,00;66895000,00;0,55;0,34;1,00;0,17;0,01;0,74;0,74;0,57;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
32;опнцпеяя, ннн;13,00;14,00;1,00;5,00;0,00;2063138000,00;2063138000,00;3477000,00;148200000,00;1911461000,00;2059661000,00;2972858000,00;1,59;1,00;1,00;0,00;0,07;0,93;1,00;1,44;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
33;аекхмяйлнкнйн, ннн;12,00;17,00;1,00;5,00;0,00;472452000,00;557621000,00;3758000,00;1704000,00;472149000,00;473853000,00;1109000,00;0,20;0,85;1,00;0,01;0,00;0,85;0,85;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
34;йпюямюъ гбегдю пняяекэунгюйюделхх, тцсо;12,00;27,00;1,00;1,00;2,00;11223000,00;29849000,00;294000,00;977000,00;10621000,00;11598000,00;8440000,00;0,27;0,38;1,00;0,01;0,03;0,36;0,39;0,28;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
35;юцпюйсаюмэ, ннн;19,00;5,50;1,00;5,00;0,00;881225000,00;2607537000,00;17485000,00;29920000,00;2560122000,00;2590042000,00;220885000,00;0,08;0,34;1,00;0,01;0,01;0,98;0,99;0,08;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
36;юцпнйнлоюмхъ гюпъ, ннн;19,00;5,50;1,00;5,00;0,00;176697000,00;301378000,00;2337000,00;86825000,00;160968000,00;247793000,00;119995000,00;0,42;0,59;1,00;0,01;0,29;0,53;0,82;0,40;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
37;юцпнйнлокейя йсыебяйхи, ннн;19,00;7,00;1,00;5,00;0,00;876360000,00;1132319000,00;687580000,00;24096000,00;420633000,00;444729000,00;755777000,00;0,64;0,77;1,00;0,61;0,02;0,37;0,39;0,67;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
38;юцпнтхплю йюдбх, ннн;19,00;13,50;1,00;5,00;0,00;160219000,00;547784000,00;167900000,00;287817000,00;34866000,00;322683000,00;72388000,00;0,12;0,29;1,00;0,31;0,53;0,06;0,59;0,13;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
39;юцпнтхплю йхпнбяйюъ, ннн;19,00;4,00;1,00;5,00;0,00;19359000,00;41571000,00;44000,00;28053000,00;13464000,00;41517000,00;49528000,00;1,21;0,47;1,00;0,00;0,67;0,32;1,00;1,19;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
40;юцпнтхплю охпнцнбн, ннн;19,00;17,00;1,00;5,00;0,00;2376127000,00;2783595000,00;188762000,00;564005000,00;2028811000,00;2592816000,00;31042000,00;0,01;0,85;1,00;0,07;0,20;0,73;0,93;0,01;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
41;юцпнтхплю пндхмю, ннн;19,00;4,00;1,00;5,00;0,00;83964000,00;131558000,00;10521000,00;9152000,00;83025000,00;92177000,00;24221000,00;0,19;0,64;1,00;0,08;0,07;0,63;0,70;0,18;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
42;юцпнтхплю-юцпшг, ннн;19,00;5,00;1,00;5,00;0,00;2084585000,00;2177694000,00;757573000,00;6975000,00;885821000,00;892796000,00;278355000,00;0,10;0,96;1,00;0,35;0,00;0,41;0,41;0,13;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
43;юцпнункдхмц чплю, ннн;19,00;17,50;1,00;5,00;0,00;1856267000,00;10959893000,00;2603060000,00;4570020000,00;2405567000,00;6975587000,00;3699677000,00;0,35;0,17;1,00;0,24;0,42;0,22;0,64;0,34;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
44;юкбг, юн;19,00;27,00;1,00;0,00;0,00;298224000,00;307264000,00;160630000,00;477000,00;62146000,00;62623000,00;2350000,00;0,01;0,97;1,00;0,52;0,00;0,20;0,20;0,01;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
45;юкейяюмдпю мебяйнцн, нюн;19,00;14,00;1,00;0,00;0,00;104832000,00;167749000,00;78486000,00;2596000,00;55423000,00;58019000,00;49899000,00;0,29;0,62;1,00;0,47;0,02;0,33;0,35;0,30;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
46;юкейяюмдпнбяйне, ннн;19,00;15,00;1,00;5,00;0,00;30793000,00;76258000,00;35576000,00;958000,00;12623000,00;13581000,00;29255000,00;0,37;0,40;1,00;0,47;0,01;0,17;0,18;0,38;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
47;юмюйнмдю-98, ннн;19,00;22,50;1,00;5,00;0,00;529022000,00;538028000,00;8682000,00;284491000,00;234820000,00;519311000,00;145169000,00;0,21;0,98;1,00;0,02;0,53;0,44;0,97;0,27;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
48;юмцекхмяйхи яюд, ннн;19,00;17,00;1,00;5,00;0,00;78937000,00;473991000,00;3631000,00;307026000,00;163325000,00;470351000,00;132127000,00;0,31;0,17;1,00;0,01;0,65;0,34;0,99;0,28;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
49;юмдпеебяйюъ, ннн юцпнтхплю;19,00;12,50;1,00;5,00;0,00;35902000,00;50002000,00;22986000,00;23263000,00;816000,00;24079000,00;16862000,00;0,30;0,72;1,00;0,46;0,47;0,02;0,48;0,34;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
50;юой бнкнцндвхмю, ннн;19,00;12,00;1,00;5,00;0,00;489520000,00;1517241000,00;93392000,00;674367000,00;719462000,00;1393829000,00;674000,00;0,00;0,32;1,00;0,06;0,44;0,47;0,92;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
51;юой йнялнделэъмяйхи, юн;19,00;27,50;1,00;0,00;0,00;321675000,00;2106232000,00;1609503000,00;192679000,00;159711000,00;352390000,00;105270000,00;0,05;0,15;1,00;0,76;0,09;0,08;0,17;0,05;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
52;юпдюрнбяйхи опндсйр, ннн;19,00;5,00;1,00;5,00;0,00;70338000,00;80738000,00;3391000,00;7007000,00;70330000,00;77337000,00;242238000,00;3,30;0,87;1,00;0,04;0,09;0,87;0,96;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
53;юяр-йнкунг йкхмяйхи, ннн;19,00;15,50;1,00;5,00;0,00;125355000,00;253952000,00;24204000,00;3092000,00;200807000,00;203899000,00;124000,00;0,00;0,49;1,00;0,10;0,01;0,79;0,80;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
54;аекцнпндяйхе нбных, ннн;19,00;7,50;1,00;5,00;0,00;276338000,00;276774000,00;7723000,00;689000,00;268312000,00;269001000,00;312475000,00;0,97;1,00;1,00;0,03;0,00;0,97;0,97;1,13;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
55;айуо, юн;19,00;28,00;1,00;0,00;0,00;15586682000,00;15723311000,00;140530000,00;40010000,00;15542741000,00;15582751000,00;58549000,00;0,00;0,99;1,00;0,01;0,00;0,99;0,99;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
56;анйнбн, ннн;19,00;16,00;1,00;5,00;0,00;79381000,00;112327000,00;52881000,00;23659000,00;2917000,00;26576000,00;14574000,00;0,12;0,71;1,00;0,47;0,21;0,03;0,24;0,13;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
57;анкэьеаепегмхйнбяйхи укеангюбнд, ннн;19,00;10,50;1,00;5,00;0,00;167255000,00;477672000,00;5449000,00;315541000,00;81422000,00;396963000,00;219363000,00;0,48;0,35;1,00;0,01;0,66;0,17;0,83;0,46;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
58;аой, ннн;19,00;13,00;1,00;5,00;0,00;5445000,00;7261000,00;2062000,00;3088000,00;2091000,00;5179000,00;345000,00;0,05;0,75;1,00;0,28;0,43;0,29;0,71;0,05;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
59;бюксияйхи кбг, нюн;19,00;24,00;1,00;0,00;2,00;453097000,00;750499000,00;105754000,00;936000,00;553771000,00;554707000,00;415185000,00;0,56;0,60;1,00;0,14;0,00;0,74;0,74;0,55;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
60;бекхйне, т/у;19,00;28,50;1,00;2,00;0,00;4049000,00;5207000,00;94000,00;4703000,00;400000,00;5103000,00;447000,00;0,08;0,78;1,00;0,02;0,90;0,08;0,98;0,09;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
61;бекхйнкемяйне, ннн;19,00;25,50;1,00;5,00;0,00;140535000,00;271030000,00;139322000,00;3327000,00;74715000,00;78042000,00;97480000,00;0,34;0,52;1,00;0,51;0,01;0,28;0,29;0,36;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
62;бнпялемяйюъ, юн орхжетюапхйю;19,00;27,00;1,00;0,00;0,00;182102000,00;199710000,00;23057000,00;29888000,00;125079000,00;154967000,00;339544000,00;1,44;0,91;1,00;0,12;0,15;0,63;0,78;1,70;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
63;бняунд, юн яуо;19,00;11,50;1,00;0,00;0,00;72528000,00;132607000,00;7671000,00;6925000,00;81152000,00;88077000,00;22465000,00;0,17;0,55;1,00;0,06;0,05;0,61;0,66;0,17;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
64;цюкя, ннн;19,00;10,00;1,00;5,00;0,00;1359752000,00;2603774000,00;2788000,00;11165000,00;2589801000,00;2600966000,00;651543000,00;0,28;0,52;1,00;0,00;0,00;0,99;1,00;0,25;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
65;цпюв╗бяйне, ннн юой;19,00;6,00;1,00;5,00;0,00;49363000,00;85959000,00;5457000,00;144000,00;74358000,00;74502000,00;625000,00;0,01;0,57;1,00;0,06;0,00;0,87;0,87;0,01;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
66;цпхмюдхмх, ннн;19,00;10,50;1,00;5,00;0,00;106684000,00;134932000,00;6807000,00;3000,00;128112000,00;128115000,00;17276000,00;0,12;0,79;1,00;0,05;0,00;0,95;0,95;0,13;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
67;йпюямши ъп, ннн;19,00;15,00;1,00;5,00;0,00;11652000,00;52965000,00;1865000,00;1194000,00;49896000,00;51090000,00;33382000,00;0,52;0,22;1,00;0,04;0,02;0,94;0,96;0,63;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
68;дебекнолемр-цпсоо, ннн;19,00;8,00;1,00;5,00;0,00;82254000,00;98378000,00;25010000,00;65976000,00;7392000,00;73368000,00;22557000,00;0,22;0,84;1,00;0,25;0,67;0,08;0,75;0,23;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
69;деикх опеяя, ннн;19,00;3,50;1,00;5,00;0,00;152000,00;4102000,00;591000,00;1212000,00;2289000,00;3501000,00;4163000,00;0,96;0,04;1,00;0,14;0,30;0,56;0,85;1,01;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
70;алй, ннн;19,00;9,50;1,00;5,00;0,00;695890000,00;703172000,00;81464000,00;41872000,00;578836000,00;620708000,00;1403221000,00;1,48;0,99;1,00;0,12;0,06;0,82;0,88;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
71;дфюкшйнбн, юн;19,00;21,50;1,00;0,00;0,00;18038000,00;41073000,00;319000,00;14821000,00;6999000,00;21820000,00;5200000,00;0,12;0,44;1,00;0,01;0,36;0,17;0,53;0,13;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
72;екэмхйнбяйне пюион;19,00;27,50;1,00;3,00;0,00;73515000,00;78622000,00;22158000,00;8120000,00;39049000,00;47169000,00;162860000,00;2,16;0,94;1,00;0,28;0,10;0,50;0,60;2,07;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
73;гюйнбпъьхмяйне, ннн;19,00;7,00;1,00;5,00;0,00;113063000,00;214064000,00;178889000,00;16846000,00;18319000,00;35165000,00;132777000,00;0,60;0,53;1,00;0,84;0,08;0,09;0,16;0,62;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
74;гекемнцпюдяйхи хярнвмхй, нюн;19,00;22,00;1,00;0,00;2,00;97603000,00;150725000,00;3208000,00;19815000,00;60548000,00;80363000,00;9528000,00;0,07;0,65;1,00;0,02;0,13;0,40;0,53;0,06;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
75;гекемвсйяйхи, нюн окелпеопндсйрнп;19,00;26,50;1,00;0,00;0,00;181219000,00;390530000,00;205181000,00;124897000,00;43733000,00;168630000,00;158357000,00;0,40;0,46;1,00;0,53;0,32;0,11;0,43;0,41;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
76;гепюбьюм, ннн;19,00;18,50;1,00;5,00;0,00;7252000,00;17986000,00;3098000,00;8000000,00;1278000,00;9278000,00;38563000,00;2,09;0,40;1,00;0,17;0,44;0,07;0,52;2,14;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
77;хгйнпл, ннн;19,00;4,00;1,00;5,00;0,00;17190000,00;18517000,00;3957000,00;116000,00;14434000,00;14550000,00;41585000,00;1,10;0,93;1,00;0,21;0,01;0,78;0,79;2,25;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
78;хл. кемхмю, ннн;19,00;10,50;1,00;5,00;0,00;65860000,00;155760000,00;19843000,00;53225000,00;49060000,00;102285000,00;55883000,00;0,44;0,42;1,00;0,13;0,34;0,31;0,66;0,36;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
79;хяйпю, ннн яуо;19,00;10,50;1,00;5,00;0,00;41381000,00;65233000,00;22399000,00;14396000,00;23514000,00;37910000,00;35172000,00;0,50;0,63;1,00;0,34;0,22;0,36;0,58;0,54;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
80;хярнвмхйз, ннн;19,00;12,50;1,00;5,00;0,00;115058000,00;122478000,00;4881000,00;68628000,00;48954000,00;117582000,00;12109000,00;0,10;0,94;1,00;0,04;0,56;0,40;0,96;0,10;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
81;йюкхмхмн, юн юцпнтхплю;19,00;18,50;1,00;0,00;0,00;110936000,00;183252000,00;76642000,00;4286000,00;41737000,00;46023000,00;57414000,00;0,31;0,61;1,00;0,42;0,02;0,23;0,25;0,31;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
82;йюпрнтекэ, ннн;19,00;10,50;1,00;5,00;0,00;21781000,00;27353000,00;13571000,00;11339000,00;2433000,00;13772000,00;26000,00;0,00;0,80;1,00;0,50;0,41;0,09;0,50;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
83;йео, ннн;19,00;16,00;1,00;5,00;0,00;49244000,00;152585000,00;19417000,00;44645000,00;33889000,00;78534000,00;122761000,00;0,73;0,32;1,00;0,13;0,29;0,22;0,51;0,80;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
84;йхкюя йспю, ннн;19,00;8,50;1,00;5,00;0,00;125337000,00;137358000,00;17775000,00;87597000,00;31686000,00;119283000,00;20677000,00;0,15;0,91;1,00;0,13;0,64;0,23;0,87;0,15;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
85;йнллсмюп, яй;19,00;22,00;1,00;2,00;0,00;186587000,00;270295000,00;19369000,00;22309000,00;119552000,00;141861000,00;77563000,00;0,28;0,69;1,00;0,07;0,08;0,44;0,52;0,29;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
86;йбя, ннн;19,00;16,50;1,00;5,00;0,00;1649381000,00;3016838000,00;175765000,00;350711000,00;1899539000,00;2250250000,00;343763000,00;0,12;0,55;1,00;0,06;0,12;0,63;0,75;0,11;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
87;йнмпщйя, ннн;19,00;11,50;1,00;5,00;0,00;140596000,00;247933000,00;115416000,00;37169000,00;45348000,00;82517000,00;319000,00;0,00;0,57;1,00;0,47;0,15;0,18;0,33;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
88;йнпю-рй, ннн;19,00;17,50;1,00;5,00;0,00;1215789000,00;2808992000,00;1860301000,00;8320000,00;96110000,00;104430000,00;109003000,00;0,04;0,43;1,00;0,66;0,00;0,03;0,04;0,04;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
