╧;мЮХЛЕМНБЮМХЕ;цНД;бНГПЮЯР ЙНЛОЮМХХ, КЕР;яРЮРСЯ;нПЦЮМХГЮЖХНММН-ОПЮБНБЮЪ ТНПЛЮ;тНПЛЮ ЯНАЯРБЕММНЯРХ;нАНПНРМШЕ ЮЙРХБШ, RUB;юЙРХБШ  БЯЕЦН, RUB;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ), RUB;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ, RUB;яНБНЙСОМШИ ДНКЦ, RUB;бШПСВЙЮ, RUB;йНЩТТХЖХЕМР НАНПЮВХБЮЕЛНЯРХ ЯНБНЙСОМШУ ЮЙРХБНБ, %;нАНПНРМШЕ ЮЙРХБШ МЮ ЕДХМХЖС ЮЙРХБНБ;юЙРХБШ  БЯЕЦН МЮ ЕДХМХЖС ЮЙРХБНБ;мЕПЮЯОПЕДЕКЕММЮЪ ОПХАШКЭ (МЕОНЙПШРШИ САШРНЙ) МЮ ЕДХМХЖС ЮЙРХБНБ;дНКЦНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;йПЮРЙНЯПНВМШЕ НАЪГЮРЕКЭЯРБЮ МЮ ЕДХМХЖС ЮЙРХБНБ;яНБНЙСОМШИ ДНКЦ МЮ ЕДХМХЖС ЮЙРХБНБ;бШПСВЙЮ МЮ ЕДХМХЖС ЮЙРХБНБ;цНЯ ЯНАЯРБЕММНЯРЭ;вЮЯРХВМЮЪ;вЮЯРМЮЪ;юн;цНЯ ЯНАЯРБЕММНЯРЭ;яЕКЭЯЙНЕ УНГБН;мЕЙНЛ;йННОЕПЮРХБШ;ннн
2 521;йпюямши пнц, ннн;19,00;28,50;0,00;5,00;0,00;182338000,00;263896000,00;111189000,00;20546000,00;100681000,00;121227000,00;77006000,00;0,31;0,69;1,00;0,42;0,08;0,38;0,46;0,29;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 522;йпюяохбн, ннн;19,00;13,00;0,00;5,00;0,00;7436000,00;8458000,00;414000,00;6343000,00;1651000,00;7994000,00;11636000,00;1,24;0,88;1,00;0,05;0,75;0,20;0,95;1,38;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 523;йпютр, ннн;19,00;4,50;0,00;5,00;0,00;7438000,00;7979000,00;3843000,00;743000,00;3383000,00;4126000,00;5173000,00;0,51;0,93;1,00;0,48;0,09;0,42;0,52;0,65;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 524;йпеякю 54, ннн;19,00;3,50;0,00;5,00;0,00;2237000,00;2237000,00;1226000,00;362000,00;639000,00;1001000,00;4481000,00;1,88;1,00;1,00;0,55;0,16;0,29;0,45;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 525;йпеярэъмяйне, ннн;19,00;15,50;0,00;5,00;0,00;56761000,00;103463000,00;93894000,00;8000000,00;1047000,00;9047000,00;74273000,00;0,77;0,55;1,00;0,91;0,08;0,01;0,09;0,72;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 526;йпхбяйне, ннн;19,00;13,00;0,00;5,00;0,00;262203000,00;407452000,00;63298000,00;236046000,00;108098000,00;344144000,00;997938000,00;2,32;0,64;1,00;0,16;0,58;0,27;0,84;2,45;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 527;йпхярюкк х й, ннн;19,00;14,50;0,00;5,00;0,00;20612000,00;20612000,00;16832000,00;856000,00;2824000,00;3680000,00;16781000,00;0,83;1,00;1,00;0,82;0,04;0,14;0,18;0,81;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 528;йпхярюкк х й, ннн;19,00;30,50;0,00;5,00;0,00;333000,00;423000,00;-7792000,00;14102000,00;106000,00;14208000,00;4810000,00;7,98;0,79;1,00;-18,42;33,34;0,25;33,59;11,37;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 529;йпхярюкк, ннн;19,00;8,50;0,00;5,00;0,00;252898000,00;310205000,00;249477000,00;20225000,00;40483000,00;60708000,00;129626000,00;0,43;0,82;1,00;0,80;0,07;0,13;0,20;0,42;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
2 530;йпхярюкк, ннн;19,00;4,50;0,00;5,00;0,00;842000,00;842000,00;-228000,00;;570000,00;570000,00;5081000,00;6,95;1,00;1,00;-0,27;0,00;0,68;0,68;6,03;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
